playerName,saves,penaltiesSaved,punches,highClaims,catches,sweeperClearances,throwOuts,goalKicks,cleanSheets,goalsConceded,errorsLeadingToGoal,ownGoals,yellowCards,redCards,fouls,goals,assists,passes,passesPerMatch,accurateLongBalls,tackles,tackleSuccess,lastManTackles,blockedShots,interceptions,clearances,headedClearance,clearancesOffLine,recoveries,duelsWon,duelsLost,successful5050s,aerialBattlesWon,aerialBattlesLost,bigChancesCreated,crosses,crossAccuracy,throughBalls,goalsPerMatch,headedGoals,goalsWithRightFoot,goalsWithLeftFoot,penaltiesScored,freekicksScored,shots,shotsOnTarget,shootingAccuracy,hitWoodwork,bigChancesMissed,offsides
Aaron  Ramsdale ,470,1,55,89,22,0,679,922,38,212,6,0,3,0,1,0,1,"4,066",26.58,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl  Hein ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David  Raya ,278,1,22,112,20,0,437,567,36,97,6,1,4,0,1,0,0,"3,341",35.54,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben  White ,0,0,0,0,0,0,0,0,46,140,0,1,19,1,96,6,9,"7,419",51.88,283,201,54%,2,13,158,293,169,0,619,508,438,51,180,153,15,136,21%,17,0,1,3,2,0,0,0,0,0,0,0,13
Gabriel  Magalhães ,0,0,0,0,0,0,0,0,47,130,4,1,17,2,106,14,0,"8,128",61.58,293,171,60%,10,21,102,399,232,2,623,611,374,13,291,222,3,12,17%,7,0,9,1,3,0,0,0,0,0,1,0,3
William  Saliba ,0,0,0,0,0,0,0,0,29,54,1,1,8,0,41,4,2,"4,703",72.35,132,75,61%,4,4,48,160,88,0,419,248,165,19,125,92,1,4,50%,3,0,3,0,1,0,0,0,0,0,0,0,0
Jakub  Kiwior ,0,0,0,0,0,0,0,0,6,14,0,0,1,0,11,2,3,740,27.41,22,27,63%,0,2,14,34,17,0,55,57,43,3,24,21,1,13,23%,2,0,1,1,0,0,0,0,0,0,0,0,0
Takehiro  Tomiyasu ,0,0,0,0,0,0,0,0,11,41,1,0,4,1,36,2,3,"1,941",30.33,66,82,54%,0,10,56,99,52,0,185,209,171,14,90,80,2,57,39%,5,0,0,2,0,0,0,0,0,0,0,0,1
Oleksandr  Zinchenko ,0,0,0,0,0,0,0,0,34,86,3,0,7,1,68,2,11,"8,532",65.63,255,223,59%,0,38,122,131,85,1,616,491,380,46,188,126,16,238,18%,22,0,0,0,2,0,0,0,0,0,0,0,8
Jurriën  Timber ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,67,33.5,1,2,100%,0,0,0,1,0,0,4,4,5,1,1,1,0,1,0%,0,0,0,0,0,0,0,0,0,0,0,0,1
James  Sweet ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
