PlayerName,Appearances,Wins,Losses,Saves,PenaltiesSaved,Punches,HighClaims,Catches,SweeperClearances,ThrowOuts,GoalKicks,CleanSheets,GoalsConceded,ErrorsLeadingToGoal,OwnGoals,YellowCards,RedCards,Fouls,Goals,Assists,Passes,PassesPerMatch,AccurateLongBalls,Tackles,TackleSuccess%,LastManTackles,BlockedShots,Interceptions,Clearances,HeadedClearance,ClearancesOffLine,Recoveries,DuelsWon,DuelsLost,Successful5050s,AerialBattlesWon,AerialBattlesLost,BigChancesCreated,Crosses,CrossAccuracy%,ThroughBalls,GoalsPerMatch,HeadedGoals,GoalsWithRightFoot,GoalsWithLeftFoot,PenaltiesScored,FreekicksScored,Shots,ShotsOnTarget,ShootingAccuracy%,HitWoodwork,BigChancesMissed,Offsides
Aaron  Ramsdale ,6,5,0,9,0,0,7,0,0,30,19,2,5,1,0,0,0,0,0,0,158,26.33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl  Hein ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David  Raya ,32,23,5,46,1,5,35,4,0,159,96,16,24,3,0,2,0,0,0,0,906,28.31,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben  White ,37,27,5,0,0,0,0,0,0,0,0,13,26,0,0,8,0,19,4,4,"1,911",51.65,51,48,58%,0,1,32,67,39,0,120,105,92,9,36,22,7,57,23%,5,0,1,1,2,0,0,0,0,0,0,0,11
Gabriel  Magalhães ,36,27,5,0,0,0,0,0,0,0,0,15,26,0,1,4,0,35,4,0,"2,144",59.56,69,48,58%,2,6,31,97,59,1,136,161,106,2,79,64,2,4,25%,2,0,4,0,0,0,0,0,0,0,0,0,1
William  Saliba ,38,28,5,0,0,0,0,0,0,0,0,18,29,0,0,4,0,22,2,1,"2,839",74.71,68,41,63%,4,4,29,78,46,0,213,139,94,10,72,49,0,3,33%,3,0,2,0,0,0,0,0,0,0,0,0,0
Jakub  Kiwior ,20,17,1,0,0,0,0,0,0,0,0,5,8,0,0,1,0,10,1,3,544,27.20,21,20,60%,0,2,8,24,13,0,35,40,29,2,16,11,1,12,25%,1,0,1,0,0,0,0,0,0,0,0,0,0
Takehiro  Tomiyasu ,22,17,3,0,0,0,0,0,0,0,0,3,10,0,0,0,1,14,2,1,608,27.64,16,20,45%,0,6,18,30,16,0,54,57,50,4,26,20,0,14,36%,2,0,0,2,0,0,0,0,0,0,0,0,1
Oleksandr  Zinchenko ,27,19,4,0,0,0,0,0,0,0,0,3,15,1,0,2,0,7,1,2,"1,411",52.26,53,50,60%,0,10,20,22,10,1,104,93,60,7,27,16,5,30,17%,11,0,0,0,1,0,0,0,0,0,0,0,1
Jurriën  Timber ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,67,33.50,1,2,100%,0,0,0,1,0,0,4,4,5,1,1,1,0,1,0%,0,0,0,0,0,0,0,0,0,0,0,0,1
James  Sweet ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Cédric  Soares ,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,19.67,4,0,0%,0,0,0,0,0,0,3,1,1,0,0,1,0,4,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Reuell  Walters ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayden  Heaven ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas  Partey ,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,621,44.36,25,14,79%,0,3,11,8,2,0,56,36,33,9,7,8,0,2,100%,3,0.00,0,0,0,0,0,8,2,25%,0,0,0
Martin  Ødegaard ,35,26,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,8,10,"1,900",54.29,45,49,35%,0,30,15,5,3,0,158,125,176,37,3,9,17,77,39%,39,0.23,0,0,8,2,0,77,23,30%,0,4,3
Emile  Smith Rowe ,13,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,211,16.23,1,4,25%,0,4,3,1,0,0,15,12,19,3,3,5,0,1,0%,0,0.00,0,0,0,0,0,15,7,47%,1,1,0
 Jorginho ,24,18,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,0,2,773,32.21,38,24,42%,0,2,12,7,2,0,49,48,35,2,7,7,2,3,33%,5,0.00,0,0,0,0,0,4,0,0%,0,0,0
Fábio  Vieira ,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,2,134,12.18,4,3,67%,0,1,2,1,0,0,16,16,18,2,1,0,2,15,20%,3,0.09,0,0,1,1,0,7,2,29%,0,0,2
Mohamed  Elneny ,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,13.33,0,0,0%,0,0,1,0,0,0,2,1,3,0,1,1,0,0,0%,0,0.00,0,0,0,0,0,2,1,50%,0,0,0
Mauro  Bandeira ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Ethan  Nwaneri ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,18.00,0,0,0%,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Kai  Havertz ,37,28,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,49,13,7,932,25.19,8,35,43%,0,18,20,22,19,0,122,197,220,16,105,105,8,12,17%,2,0.35,3,3,7,1,0,69,28,41%,1,13,15
Declan  Rice ,38,28,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,34,7,8,"2,227",58.61,78,83,61%,0,23,44,51,29,0,178,156,143,21,39,46,9,60,35%,2,0.18,2,5,0,0,0,58,20,34%,2,2,2
Amario  Cozier-Duberry ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Myles  Lewis-Skelly ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Bukayo  Saka ,35,25,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,41,16,9,"1,310",37.43,0,66,0,0,44,15,19,6,0,0,0,0,0,0,0,15,181,0,0,0.46,1,4,11,6,0,108,37,34%,3,11,8
Gabriel  Jesus ,27,18,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,26,4,5,490,18.15,0,24,0,0,16,13,11,9,0,0,0,0,0,0,0,6,9,0,0,0.15,2,1,1,0,0,55,19,35%,2,7,16
Gabriel  Martinelli ,35,26,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,6,4,807,23.06,24,30,80%,0,19,5,7,2,0,95,109,169,40,17,26,7,109,26%,3,0.17,0,5,1,0,0,58,22,38%,1,5,9
Eddie  Nketiah ,27,18,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,5,2,209,7.74,0,12,0,0,8,4,4,4,0,0,0,0,0,0,0,2,5,0,0,0.19,0,5,0,0,0,38,12,32%,2,4,8
Leandro  Trossard ,34,25,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,12,1,606,17.82,0,27,0,0,19,8,5,4,0,0,0,0,0,0,0,3,57,0,0,0.35,1,7,4,0,0,60,22,37%,1,7,9
Reiss  Nelson ,15,11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,127,8.47,2,9,67%,0,2,1,5,1,0,22,16,22,1,0,5,1,14,21%,0,0.00,0,0,0,0,0,4,1,25%,0,0,0
Emiliano  Martínez ,34,19,7,95,0,4,42,3,0,157,159,8,48,2,2,4,0,1,0,0,"1,272",37.41,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin  Olsen ,5,1,3,21,1,1,5,3,0,19,27,0,13,0,0,0,0,0,0,0,184,36.80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James  Wright ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam  Proctor ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe  Gauci ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lander  Emery ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matty  Cash ,29,16,7,0,0,0,0,0,0,0,0,2,36,0,1,8,0,30,2,2,"1,028",35.45,31,54,57%,0,10,18,52,28,1,110,103,114,12,15,21,6,39,23%,0,0,0,2,0,0,0,0,0,0,0,0,0
Diego  Carlos ,27,12,9,0,0,0,0,0,0,0,0,5,36,1,0,4,0,26,0,0,"1,339",49.59,66,27,59%,2,2,13,78,35,1,78,54,66,2,22,28,0,1,0%,0,0,0,0,0,0,0,0,0,0,0,0,1
Ezri  Konsa ,35,18,9,0,0,0,0,0,0,0,0,6,54,2,0,5,0,14,1,0,"1,953",55.80,46,54,59%,3,5,28,68,29,0,142,167,53,19,30,14,1,17,24%,1,0,0,1,0,0,0,0,0,0,0,0,0
Tyrone  Mings ,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5.00,1,0,0%,0,1,1,1,0,0,2,1,0,0,1,0,0,0,0%,1,0,0,0,0,0,0,0,0,0,0,0,0
