"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Tucker, Kyle","663656","2024","253",16.2,17.4,".413",".412",39.5,13.8,44.3,"100.279974524","94.773961976",19.6,40.5
"Kim, Ha-Seong","673490","2024","235",17,14,".310",".323",38.5,5.6,33.5,"98.307303291","93.228929684",17.2,37.8
"Ozuna, Marcell","542303","2024","232",22.8,11.2,".422",".440",44.1,17.1,55.3,"102.920159211","96.530340526",31,48.2
"Castro, Willi","650489","2024","216",24.1,8.8,".341",".324",36.9,6.4,39.7,"99.260616377","93.756401812",27.1,49.2
"Duran, Jarren","680776","2024","262",23.3,7.6,".326",".338",36,7.3,44.4,"101.36544908","95.196972529",24.8,47.2
"Smith, Josh","669701","2024","198",18.2,8.6,".355",".319",37.5,2.9,32.4,"97.398057353","92.734807111",19.2,47.5
"Busch, Michael","683737","2024","194",34.5,11.9,".340",".336",41.2,13.7,37.3,"99.762049412","94.19888802",32.8,45.7
"Caballero, José","676609","2024","192",30.2,5.2,".292",".276",34.2,3.3,23.3,"95.963795965","92.033323333",32.6,47.9
"Vierling, Matt","663837","2024","178",21.9,4.5,".352",".325",41.5,8.5,46.1,"101.970090469","95.557668346",18.7,43.2
"Adames, Willy","642715","2024","251",20.7,10.4,".346",".362",37.2,11,40.7,"99.485081047","94.12711564",29.7,46.9
"Suárez, Eugenio","553993","2024","222",28.4,6.3,".267",".272",37.9,6.4,32.9,"98.479659286","93.279583571",30.3,46
"Blackmon, Charlie","453568","2024","183",10.9,8.7,".305",".304",31.7,5.5,26.2,"95.627808889","91.881311042",16.2,50.7
"Harper, Bryce","547180","2024","232",23.3,14.7,".381",".362",34.7,11.1,50,"102.850514306","96.018167153",31,50.9
"Turner, Justin","457759","2024","190",16.3,10.5,".295",".327",37.2,3.6,32.8,"97.07744971","92.677888248",18.6,47.3
"Goldschmidt, Paul","502671","2024","235",29.8,9.8,".296",".314",37.7,5.8,44.9,"100.59764971","95.071527391",29,46.5
"Velázquez, Nelson","676369","2024","180",28.9,7.2,".307",".319",33.6,10.6,37.2,"99.629984211","93.970334159",37,46.6
"Freeman, Freddie","518692","2024","259",16.6,12.7,".367",".370",45.2,9.6,40.1,"100.02850809","94.409914011",21.6,49.7
"Heim, Jonah","641680","2024","197",17.3,5.6,".290",".292",27.8,6.6,39.7,"98.880226053","93.779008411",18.7,53.2
"France, Ty","664034","2024","212",24.1,7.1,".327",".327",35.9,9.2,42.3,"100.336578592","94.443346831",23,48.5
"Julien, Edouard","666397","2024","190",34.2,12.1,".303",".291",35.6,11.9,38.6,"99.239216078","93.753532277",31.3,37.5
"Bellinger, Cody","641355","2024","195",15.9,8.2,".334",".311",36.7,8.8,33.3,"98.377745676","93.416429252",24.6,52.1
